"filename", "language", "PHP", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\simple-header.php", "PHP", 38, 0, 0, 0, 0, 5, 43
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\admin_console\summary.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\config.php", "PHP", 10, 0, 0, 0, 10, 3, 23
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\account.php", "PHP", 162, 0, 0, 0, 15, 19, 196
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\book-a-howto.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\book-a-repair.php", "PHP", 145, 0, 0, 0, 12, 10, 167
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\borrow-an-item.php", "PHP", 89, 0, 0, 0, 7, 18, 114
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\config.php", "PHP", 10, 0, 0, 0, 10, 3, 23
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\header.php", "PHP", 149, 0, 0, 0, 3, 23, 175
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\js\jquery-3.6.0.js", "JavaScript", 0, 0, 0, 6895, 1911, 2075, 10881
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\my-booked-howto.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\my-borrowed-items.php", "PHP", 27, 0, 0, 0, 2, 6, 35
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\my-repair-sessions.php", "PHP", 74, 0, 0, 0, 5, 6, 85
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\new_repair.php", "PHP", 19, 0, 0, 0, 6, 5, 30
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\simple-header.php", "PHP", 88, 0, 0, 0, 0, 14, 102
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\customers\support.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\faq.php", "PHP", 27, 0, 0, 0, 2, 5, 34
"c:\Users\leann\Documents\GitHub\legendary-octo-guide\admin\footer.php", "PHP", 29, 0, 0, 0, 2, 2, 33
